iter	Passed	Remaining
0	3	375
1	7	362
2	11	359
3	14	346
4	17	341
5	21	333
6	24	328
7	28	324
8	31	319
9	34	314
10	37	306
11	41	301
12	44	297
13	47	292
14	50	288
15	53	283
16	57	278
17	60	274
18	63	270
19	66	266
20	69	262
21	73	259
22	76	256
23	79	252
24	82	248
25	86	245
26	89	241
27	92	238
28	95	234
29	98	229
30	101	225
31	104	223
32	107	219
33	110	215
34	113	211
35	117	208
36	120	204
37	123	201
38	126	197
39	129	193
40	132	190
41	135	187
42	138	184
43	141	180
44	144	177
45	148	173
46	151	170
47	154	167
48	157	163
49	160	160
50	163	156
51	166	153
52	169	150
53	172	146
54	174	143
55	177	139
56	180	136
57	184	133
58	187	130
59	190	126
60	193	123
61	196	120
62	199	116
63	201	113
64	204	110
65	207	107
66	210	103
67	213	100
68	215	96
69	218	93
70	221	90
71	224	87
72	226	83
73	228	80
74	231	77
75	234	74
76	236	70
77	239	67
78	242	64
79	245	61
80	247	58
81	249	54
82	252	51
83	255	48
84	257	45
85	260	42
86	263	39
87	266	36
88	268	33
89	270	30
90	272	26
91	275	23
92	278	20
93	280	17
94	282	14
95	285	11
96	287	8
97	289	5
98	292	2
99	294	0
