pool_name,community_address,measurement_date,measurement_employee,ph,turbidity,free_chlorine,unnamed_separator_1,sunscreen_overuse,ph_pump_flow_rate,hypochlorite_pump_flow_rate,motor_pump_flow_rate,filter_diameter,number_of_filters,number_of_motors,heated_pool,community_pool,skimmer_pool,overflow_pool,outdoor_pool,oval_pool,private_pool,public_pool,rectangular_pool_0714,rectangular_pool_07,round_pool,pool_surface_area,contaminating_vegetation,pool_volume,deck_grass_area,deck_mixed_area,deck_paved_area,unnamed_separator_2,maintenance_employee,maintenance_date,ph_dosing_hours,daily_filtration_hours,ph_dosing_percentage,filter_wash_rinse_time,hypo_dosing_hours,hypo_dosing_percentage,water_temperature,unnamed_separator_3,chemical_dosing_employee,chemical_dosing_date,chemical_t500_qp,chemical_alboral_tablets_250g,chemical_flovil_tablets,chemical_hypo_carboys_20kg,chemical_hypo_gr_chloryte,chemical_hypo_granules_xaka,chemical_hypo_sticks_bayrol,chemical_hypo_tabs_ritocal,chemical_hypo_tablets_200g_qp,chemical_hypo_tablets_xaka,chemical_ph_minus_granules_6kg,chemical_ph_minus_liquid_13_5kg,chemical_ph_minus_liquid_27kg,chemical_protect_and_shine,chemical_sg_xaka_agonet_gr90,chemical_superklar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",04-01-2023 11:55,Mauricio Pessina Gomez,7.7,0.2,4.5,,,,4.0,77.0,1200.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,272.45,,446.0,,,1.0,,Jesús Cristo Morán,06-04-2023,,9.0,,,,,,,Jacobo Rato Espuch,17-02-2023,,,,,,,,,,,,,,,2.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",12-01-2023 12:02,Jesús Cristo Morán,7.3,0.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,06-04-2023,,,,,,,20.4,,Jacobo Rato Espuch,23-02-2023,,,,,,,,,,,,,,,1.0,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",19-01-2023 09:20,Jesús Cristo Morán,7.3,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,12-04-2023,,,,,4.0,,,,Abel Melquiades Fernández,09-03-2023,,,,,,,,,,,,,,,1.2,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",31-01-2023 11:10,Jesús Cristo Morán,7.4,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,12-04-2023,,,,,,,21.5,,Abel Melquiades Fernández,17-03-2023,,,,,,,,,,,,,,,1.5,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",06-02-2023 12:43,Jesús Cristo Morán,7.3,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,21-04-2023,,,,,8.0,,,,Jesús Cristo Morán,20-06-2023,,,,,,,,,,,,,,,,0.25
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",17-02-2023 11:05,Jacobo Rato Espuch,7.2,1.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,21-04-2023,,,,,,,22.3,,Jesús Cristo Morán,24-06-2023,,,3.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",23-02-2023 09:28,Jacobo Rato Espuch,7.2,1.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Giorgio Lanzarini,28-04-2023,,,,1.5,,,,,Jesús Cristo Morán,24-06-2023,0.5,,,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",03-03-2023 11:15,Abel Melquiades Fernández,7.2,0.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,12-05-2023,,,,,8.0,,,,Jesús Cristo Morán,27-06-2023,,,2.0,,,,,,,,,,,,,
Cabo Verde (19),"Av. Jaime I El Conquistador, 5 03560 El Campello, Alicante",09-03-2023 13:02,Abel Melquiades Fernández,7.4,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Cristo Morán,25-05-2023,,,,,6.0,,,,Jesús Cristo Morán,01-07-2023,1.0,,,,,,,,,,,,,,,
