Feature,Pearson_Correlation
next_free_chlorine,1.0
target_next_free_chlorine,1.0
target_next_compliance_band,0.7660383000246513
free_chlorine,0.49895412901634184
active_hocl_ppm,0.4506345464051356
free_chlorine_rolling_mean_3,0.45041380938671005
free_chlorine_lag1,0.41054745396252784
is_target_censored_at_5,0.36624572371152775
free_chlorine_lag2,0.36045513070757845
tech_next_mean_cl_encoded,0.32902773170050686
tech_t_mean_cl_encoded,0.32706735725261427
is_current_censored_at_5,0.19630989196174864
outdoor_pool,0.19121269229952453
community_pool,0.19100834328909708
month,0.1838627638838293
day_of_year,0.18324912605687899
latent_unlogged_shock_flag,0.12399539408301744
bather_surge_index,0.10717170444252945
pump_dosage_ppm,0.09720401973278964
specific_surface_ratio,0.08979630344361678
month_cos,0.07946326825536432
is_summer,0.06527909401519055
is_train_split,0.06147595702966789
ph_pump_flow_rate,0.05984795023413725
hour_t_cos,0.05005828239708063
skimmer_pool,0.039880343972461395
rectangular_pool_0714,0.03930978824991532
next_hour_cos,0.038702676375237166
ph_lag1,0.03603526304255791
next_ph,0.031624549754039784
water_temperature,0.02649242422113849
hypo_dosing_percentage,0.026040565488090653
ph,0.025900934160494337
hour_t_sin,0.025815293185159544
window_temp_mean_c,0.024426647515580623
weekend_exposure_ratio,0.01734114438896407
rectangular_pool_07,0.013281934680022128
window_temp_max_c,0.010128519348131212
window_precip_sum_mm,0.007114763507010079
oval_pool,0.005918382885313591
deck_mixed_area,0.005586215467281619
turbidity,0.005566028209840512
next_hour_sin,0.004584671969689244
deck_paved_area,0.0015858059735447873
window_wind_max_kmh,-9.037849372288322e-05
round_pool,-0.0011164323279206903
ph_dosing_percentage,-0.0016769716795104882
deck_grass_area,-0.003527839819477968
theoretical_decay_k,-0.007686878263845963
heated_pool,-0.010770779950142596
cya_cumulative_seasonal_ppm,-0.0135852811449206
next_hour,-0.013796206310619357
liquid_dosage_ppm,-0.014862611493132616
ph_dosing_hours,-0.01860111345856296
active_cl2_liquid_grams,-0.02217376597624379
theoretical_retained_chlorine,-0.026001759018094192
number_of_motors,-0.02672541268248449
active_hocl_fraction,-0.027218119998250013
num_weekend_days,-0.02777723428544653
daily_turnover_ratio,-0.028856341732032352
pump_cl2_delivered_grams,-0.03141686672014516
hour_t,-0.03155938685909212
next_turbidity,-0.03514370149799226
overflow_pool,-0.03920699984414454
daily_filtration_hours,-0.043822310946204535
contaminating_vegetation,-0.04600433635130749
hypo_dosing_hours,-0.05112030339776859
year,-0.05119512278898484
number_of_filters,-0.05768966487078026
chlorine_post_treatment_theoretical,-0.057827428681905504
delta_days,-0.06733005692566733
filter_wash_rinse_time,-0.06768767909115407
sunscreen_overuse,-0.07886048979224161
hypochlorite_pump_flow_rate,-0.08186273791452939
shock_dosage_ppm,-0.08801563676897925
total_instant_dosage_ppm,-0.08819272181781439
window_solar_rad_mean_mj,-0.091486932930774
estimated_mean_depth,-0.09328334155967193
filter_diameter,-0.10566164650042828
window_sunshine_hours_sum,-0.12134569463329262
cya_added_ppm,-0.13352396137564596
window_et0_sum_mm,-0.1437685491541883
erodible_dosage_ppm,-0.14675144588500658
pool_surface_area,-0.1489948983386267
active_cl2_shock_grams,-0.14930766215098254
motor_pump_flow_rate,-0.1511837329834737
pool_volume,-0.15717698976933936
is_chemical_logged_in_window,-0.1663941611022147
window_solar_rad_sum_mj,-0.16908331276731103
month_sin,-0.1724516153052599
erodible_dissolved_grams,-0.19049783872950982
active_cl2_erodible_grams,-0.19306753046784061
cya_added_grams,-0.199506909620444
chemical_events_in_window,-0.22321510377305456
total_active_cl2_grams,-0.2421156608415972
