Feature,RF_Importance,HGB_Importance,Ridge_Coefficient,Abs_Ridge_Coef,Consensus_Score
CLORO_LIBRE_LAG1,0.3375583163110801,0.21792905468129364,0.20071883615189656,0.20071883615189656,0.8721281858573211
CLORO_ROLLING_MEAN_3,0.18578551566356982,0.08168452231475264,0.2238659091323356,0.2238659091323356,0.606723403666383
TOTAL_CLORO_QUIMICO_DOSIS,0.09748379640666649,0.30277108203257935,-0.01099076931295736,0.01099076931295736,0.4459620996291795
Volumen piscina,0.023905470414803287,0.02948820600413899,-0.1517954135688884,0.1517954135688884,0.28209239305724787
DIAS_DESDE_ULTIMA_MEDICION,0.044811138542900954,0.043016207570954625,-0.06450940163351547,0.06450940163351547,0.1876622415341652
Superficie piscina,0.021781602178555754,0.018086762959339225,0.078243718350741,0.078243718350741,0.1579252961103324
HORA_SIN,0.008191744134271803,0.005897033365484664,-0.08976892479251954,0.08976892479251954,0.14824622802121576
Porcentaje dosificación hipoclorito,0.017560973990662854,0.032008993043178544,-0.059664632691196,0.059664632691196,0.14142105015753342
TOTAL_CLORO_QUIMICO_LAG1,0.04117933757521662,0.06982279988127683,-0.005990114238359793,0.005990114238359793,0.1264539612760637
HORA_MEDICION,0.00967281573857399,0.005167886321455032,-0.07327424221016524,0.07327424221016524,0.12434565271408397
MES,0.014370607037052683,0.018595876111753593,0.046527559775276006,0.046527559775276006,0.10394262885022816
CLORO_LIBRE_LAG2,0.027546266665581968,0.01764884368373312,0.03520044734203241,0.03520044734203241,0.09904483198905008
TURBIDEZ,0.016410903713835367,0.01679244815895196,-0.04259552965884416,0.04259552965884416,0.09811717932419807
Piscina con skimmers,0.0017931065847428568,0.009063032908773506,-0.03812843961611671,0.03812843961611671,0.06852126976549525
TOTAL_CLORO_QUIMICO_SUM3D,0.02118601876343186,0.018930240345753354,0.016392358220265975,0.016392358220265975,0.06616994179995932
MES_COS,0.006684434151566965,0.008623192438078117,0.024945951566790005,0.024945951566790005,0.05323858950188457
Horas dosificación hipo,0.005020559987081358,0.018937283836468016,-0.01564558016569336,0.01564558016569336,0.04910262681789173
DIA_SEMANA,0.007793295131317586,0.008766198422410176,-0.02116064835057977,0.02116064835057977,0.048854747229242934
HORA_COS,0.010306865022166285,0.002246463500284807,0.01684989168667229,0.01684989168667229,0.0377403491778209
Diametro filtro,0.01061331847658998,0.007496037058270532,0.012622426507337203,0.012622426507337203,0.03752780289501872
Caudal del motor,0.013201531597161989,0.004977604792318496,-0.012272775561044138,0.012272775561044138,0.03679034829760373
PROFUNDIDAD_MEDIA_EST,0.02575905591007221,0.008053164323636688,0.0013076652738795423,0.0013076652738795423,0.036249808755522576
Número de motores,0.0005485074884854836,0.0027354789426991023,0.021726514705646394,0.021726514705646394,0.03590373396338912
ANIO,0.006429163483405642,0.003497725322038291,-0.01639998846017896,0.01639998846017896,0.03461884868144908
Numero de filtros,0.0011659044603479654,0.002855673240895899,0.020023966572074784,0.020023966572074784,0.03411065901565804
MES_SIN,0.009136505864358442,0.009562656354668705,-0.00855798647481844,0.00855798647481844,0.03229280539130499
Temperatura agua,0.013452833036652605,0.010295886763150424,-0.004900344703509344,0.004900344703509344,0.03191617258710446
PH,0.010080982268444836,0.00626270352479513,0.004991943599556564,0.004991943599556564,0.02428261454924477
Horas filtracion diarias,0.0005362371958523824,0.0011243671504746634,-0.013186742492058806,0.013186742492058806,0.021402270793574447
PH_LAG1,0.008275026673541049,0.0030570430848527726,0.00639114989844956,0.00639114989844956,0.021053416748770284
ES_FIN_DE_SEMANA,0.0007391046510895516,0.0,0.011033287872492345,0.011033287872492345,0.01715827131353499
PISCINA EXTERIOR,0.0,0.011862945121582494,0.0,0.0,0.013060411849509413
ES_VERANO,0.000761592407783476,0.0006380169481363714,0.007200881195831198,0.007200881195831198,0.0121764950253656
Piscina desbordante,0.0,0.001710665784590447,0.0,0.0,0.0018833434239671346
Tiempo lavado /enjuague filtro,0.00025746847313587673,0.0003939030538292987,0.0002118674211496491,0.0002118674211496491,0.0010033779918493127
