Column,Missing_Count,Total_Rows,Missing_Percentage,Non_Null_Count,Dtype,Category
PISCINA PARTICULAR,43695,43695,100.0,0,float64,Pool Static Physical
PH MINUS GRANULADO 6kg,43695,43695,100.0,0,float64,Chemical Additions
Unnamed: 32,43695,43695,100.0,0,float64,Other / Empty
PISCINA PUBLICA,43695,43695,100.0,0,float64,Pool Static Physical
Unnamed: 7,43695,43695,100.0,0,float64,Other / Empty
Unnamed: 42,43695,43695,100.0,0,float64,Other / Empty
PH MINUS LIQUIDO 27 KG.,43695,43695,100.0,0,float64,Chemical Additions
PISCINA CLIMATIZADA,43691,43695,99.99084563451196,4,float64,Pool Static Physical
HIPO TAB. RITOCAL,43687,43695,99.98169126902393,8,float64,Chemical Additions
ABUSO CREMAS PROTECCION,43675,43695,99.9542281725598,20,float64,Pool Static Physical
Porcentaje dosificación PH,43658,43695,99.91532211923561,37,float64,Operational Controls
PH MINUS LIQUIDO 13.5 KG,43657,43695,99.9130335278636,38,float64,Chemical Additions
VEGETACION CONTAMINANTE,43655,43695,99.90845634511957,40,float64,Pool Static Physical
PROTECT & SHINE,43655,43695,99.90845634511957,40,float64,Chemical Additions
Piscina desbordante,43635,43695,99.86268451767937,60,float64,Pool Static Physical
Piscina redonda,43631,43695,99.85353015219133,64,float64,Pool Static Physical
(07) Piscina rectangular,43611,43695,99.80775832475112,84,float64,Pool Static Physical
Piscina ovalada,43595,43695,99.77114086279894,100,float64,Pool Static Physical
Zona PLAYA pavimentada,43591,43695,99.7619864973109,104,float64,Pool Static Physical
Caudal bomba de PH,43587,43695,99.75283213182287,108,float64,Pool Static Physical
Horas dosificacion PH,43573,43695,99.72079185261472,122,float64,Operational Controls
Zona PLAYA mixta,43547,43695,99.66128847694245,148,float64,Pool Static Physical
Zona playa césped,43527,43695,99.61551664950224,168,float64,Pool Static Physical
HIPO GR CHLORYTE,43510,43695,99.57661059617806,185,float64,Chemical Additions
(0714) Piscina rectangular,43507,43695,99.56974482206202,188,float64,Pool Static Physical
PISCINA EXTERIOR,43467,43695,99.4782011671816,228,float64,Pool Static Physical
Caudal bomba hipoclorito,43447,43695,99.43242933974139,248,float64,Pool Static Physical
PISCINA COMUNITARIA,43443,43695,99.42327497425335,252,float64,Pool Static Physical
Número de motores,43355,43695,99.22187893351642,340,float64,Pool Static Physical
Caudal del motor,43331,43695,99.16695274058817,364,float64,Pool Static Physical
ALBORAL TABLETAS 250 GRS RF. 201710,43321,43695,99.14406682686806,374,float64,Chemical Additions
Piscina con skimmers,43299,43695,99.09371781668384,396,float64,Pool Static Physical
Numero de filtros,43283,43695,99.05710035473166,412,float64,Pool Static Physical
Diametro filtro,43271,43695,99.02963725826753,424,float64,Pool Static Physical
Volumen piscina,43235,43695,98.94724796887516,460,float64,Pool Static Physical
Superficie piscina,43235,43695,98.94724796887516,460,float64,Pool Static Physical
HIPO STICKS BAYROL,43052,43695,98.52843574779723,643,float64,Chemical Additions
HIPO TABLETAS 200Gr. QP,42638,43695,97.58095891978488,1057,float64,Chemical Additions
HIPO GRANULADO XAKA,42630,43695,97.56265018880879,1065,float64,Chemical Additions
HIPO GARRAFAS 20KG.,42322,43695,96.85776404622955,1373,float64,Chemical Additions
Horas filtracion diarias,42025,43695,96.17805240874242,1670,float64,Operational Controls
Tiempo lavado /enjuague filtro,40625,43695,92.97402448792768,3070,float64,Operational Controls
SG XAKA (AGONET GR90),40504,43695,92.69710493191441,3191,float64,Chemical Additions
SUPERKLAR,40502,43695,92.69252774917038,3193,float64,Chemical Additions
HIPO TABLETAS XAKA,40337,43695,92.31491017278864,3358,float64,Chemical Additions
FLOVIL PASTILLAS,39956,43695,91.44295686005263,3739,float64,Chemical Additions
Horas dosificación hipo,39598,43695,90.62364114887286,4097,float64,Operational Controls
Porcentaje dosificación hipoclorito,39070,43695,89.4152649044513,4625,float64,Operational Controls
T-500 (GRUPO QP),34841,43695,79.73681199221879,8854,float64,Chemical Additions
Temperatura agua,31554,43695,72.21421215242019,12141,float64,Operational Controls
EMPLEADO.1,18281,43695,41.837738871724454,25414,str,Identifier / Staff
FECHA.1,17933,43695,41.041309074264795,25762,str,Timestamp
EMPLEADO.2,16889,43695,38.652019681885804,26806,str,Identifier / Staff
FECHA.2,16577,43695,37.93797917381851,27118,str,Timestamp
TURBIDEZ,4420,43695,10.115573864286532,39275,float64,Water Quality (Core)
CLORO LIBRE,4412,43695,10.097265133310447,39283,float64,Water Quality (Core)
EMPLEADO,3707,43695,8.483808216043027,39988,str,Identifier / Staff
PH,3665,43695,8.387687378418583,40030,float64,Water Quality (Core)
FECHA,3423,43695,7.833848266392035,40272,str,Timestamp
COMUNIDAD,1092,43695,2.499141778235496,42603,str,Identifier / Staff
PISCINA,1092,43695,2.499141778235496,42603,str,Identifier / Staff
