,CLORO LIBRE,PH,TURBIDEZ,Temperatura agua,Volumen piscina,Superficie piscina,PROFUNDIDAD_MEDIA_EST,Horas filtracion diarias,Horas dosificación hipo,Porcentaje dosificación hipoclorito,Tiempo lavado /enjuague filtro,TOTAL_CLORO_QUIMICO_DOSIS,TOTAL_CLORO_QUIMICO_LAG1,TOTAL_CLORO_QUIMICO_SUM3D,CLORO_LIBRE_LAG1,PH_LAG1,DIAS_DESDE_ULTIMA_MEDICION,HORA_MEDICION,MES,ES_VERANO,ES_FIN_DE_SEMANA,Caudal del motor,Diametro filtro
CLORO LIBRE,1.0,0.030285643756073965,-0.04428365397503057,-0.03694857587749906,-0.17818933318837174,-0.1637601231821346,-0.09428007558526814,-0.1896637141267358,-0.21017945667218516,-0.23630355571146777,0.0004923281929259836,-0.013202572371074885,-0.005711612748058703,-0.008285098448693674,0.5047810170088424,0.02683593012743197,-0.08976002312587018,-0.020367116015611968,0.1729037681083938,0.06235718938417713,0.027167382569458845,-0.14696355399544997,-0.10166490239655031
PH,0.030285643756073965,1.0,0.0030225390619038036,-0.10514513781337033,-0.022299134800691303,-0.01625548964274155,0.008595787550544668,-0.15245076478531422,-0.2154040725628776,-0.14300681498425752,0.019982851767516612,-0.02137034898001942,-0.01598771086112899,-0.029092684392707485,0.03812365663868604,0.622368776358813,0.12365883306518567,0.1592748130801428,-0.03360035244423209,-0.17618300356669175,-0.060989865230702794,-0.04737265941598281,0.024615614524706356
TURBIDEZ,-0.04428365397503057,0.0030225390619038036,1.0,0.002326393628857896,-0.06323036237430231,-0.03673973553379281,-0.08393669902344958,0.1920758888141878,-0.03696167962458851,0.0691858822211198,0.0021392139527823787,0.008120318131528673,0.005834042593685165,0.013018649958315627,-0.0080950556839067,-0.00548849496667119,0.01694876257210971,0.10787321626289989,-0.00815333927953477,0.04584547592726594,0.02896706314520976,-0.043377386858545364,0.024667076534875744
Temperatura agua,-0.03694857587749906,-0.10514513781337033,0.002326393628857896,1.0,0.04284209998806748,0.038609930131930904,0.046636516198982104,0.6581648090560448,0.6995734914881931,0.2670872571311248,0.056227871365611484,0.013491240298650304,0.013128789766472618,0.02268326320129959,-0.0339889947442871,-0.0749011772500828,-0.13794264730154332,-0.11562910380653048,0.07670320796906102,0.27155374986430525,0.0441938896101832,0.018918185049439953,0.012879778397003888
Volumen piscina,-0.17818933318837174,-0.022299134800691303,-0.06323036237430231,0.04284209998806748,1.0,0.9836560955116646,0.42920349203921315,0.13417906745003488,0.27515942538024185,0.40102839455587563,0.014729872298045463,0.0034595609782600545,0.0034742866145097725,0.005932974275613752,-0.17838732989975326,-0.02262292290761595,-0.05875159453029794,-0.08839172712758386,0.010613421134836014,0.03448646347295453,-0.004201262727787281,0.7302191783242251,0.5710360055720144
Superficie piscina,-0.1637601231821346,-0.01625548964274155,-0.03673973553379281,0.038609930131930904,0.9836560955116646,1.0,0.32917159358476555,0.11920723032530667,0.2580723415381191,0.41388973478686203,0.014631840407584655,0.005878411956487784,0.005889362318761419,0.010066916214644154,-0.1639602258646787,-0.016557853384767993,-0.059519883470492946,-0.0536348639959733,0.011219637118784135,0.035642318228594726,0.00626546523891972,0.7251992640823701,0.5902461507296966
PROFUNDIDAD_MEDIA_EST,-0.09428007558526814,0.008595787550544668,-0.08393669902344958,0.046636516198982104,0.42920349203921315,0.32917159358476555,1.0,0.12928093346243022,0.13277020483202667,0.016478553474788524,0.026363575632260557,0.02327427106207214,0.02328636261415337,0.03982300345915758,-0.09462151635921467,0.008384556453055124,-0.03942442198023945,-0.03646650285543524,-0.005772385102808907,-0.006337124673858334,-0.07869071102065811,0.37405239518085165,0.3082853973423704
Horas filtracion diarias,-0.1896637141267358,-0.15245076478531422,0.1920758888141878,0.6581648090560448,0.13417906745003488,0.11920723032530667,0.12928093346243022,1.0,0.6575100306682073,0.3023067469715324,0.03208113436678392,-0.013779043694475204,0.03904689515336131,0.05120865242082298,-0.09897922850272761,-0.12218805065161069,-0.18293839282892987,-0.3248297597459237,-0.35527049116066717,0.608474320061627,0.30789788166487253,0.0766527098514352,0.04101044554436693
Horas dosificación hipo,-0.21017945667218516,-0.2154040725628776,-0.03696167962458851,0.6995734914881931,0.27515942538024185,0.2580723415381191,0.13277020483202667,0.6575100306682073,1.0,0.5256083530725267,-0.05202873081272017,0.0274807195586476,0.04769825015633443,0.07123956999341119,-0.1941957962907765,-0.16344398572338173,-0.27282146193205703,-0.39129899859565853,-0.04475380846804374,0.5789439385408105,0.1999498134002803,0.20493983322625986,0.13994976779344323
Porcentaje dosificación hipoclorito,-0.23630355571146777,-0.14300681498425752,0.0691858822211198,0.2670872571311248,0.40102839455587563,0.41388973478686203,0.016478553474788524,0.3023067469715324,0.5256083530725267,1.0,0.025098171315891607,0.023473822369066102,0.01792405235564983,0.0321951542431455,-0.14923653887482222,-0.11948683768332151,-0.166492807458762,-0.16180538328942642,0.010181139192234708,0.30409466396891,0.16084919808133788,0.27326501230390843,0.26499759179011706
