,CLORO LIBRE,PH,TURBIDEZ,Temperatura agua,Volumen piscina,Superficie piscina,PROFUNDIDAD_MEDIA_EST,Horas filtracion diarias,Horas dosificación hipo,Porcentaje dosificación hipoclorito,Tiempo lavado /enjuague filtro,TOTAL_CLORO_QUIMICO_DOSIS,TOTAL_CLORO_QUIMICO_LAG1,TOTAL_CLORO_QUIMICO_SUM3D,CLORO_LIBRE_LAG1,PH_LAG1,DIAS_DESDE_ULTIMA_MEDICION,HORA_MEDICION,MES,ES_VERANO,ES_FIN_DE_SEMANA,Caudal del motor,Diametro filtro
CLORO LIBRE,1.0,0.04620367152126968,0.08040860066698259,-0.10779017387089404,-0.20965354307608072,-0.19421856991935982,-0.06921137231324878,-0.1833574059914951,-0.22543587872841434,-0.2504635438194933,-0.16872346326748172,-0.244044942035314,-0.09089207566783723,-0.15457849690603512,0.5305337310537194,0.03746716841687037,-0.05271592800531557,-0.02072591799776945,0.19371072432009243,0.0681478264482125,0.03295273870905806,-0.16365423231229528,-0.10506785371244931
PH,0.04620367152126968,1.0,0.10102776053966313,-0.21821814189819883,-0.011948749995834505,-0.0008751407481081381,-0.05773273684639668,-0.12197778359960072,-0.20413792722381896,-0.1293904772360034,-0.1338357508391853,0.0032929340228317248,0.0005882407186066945,-0.020577591119256146,0.048536952409313425,0.6290260970643186,0.15708736722891325,0.16146201553203032,-0.022455517957889613,-0.16617048551265373,-0.06021065369388174,-0.01987035532415585,0.015047896525773968
TURBIDEZ,0.08040860066698259,0.10102776053966313,1.0,0.053293472711468795,-0.06534232922367675,-0.019093367125951475,-0.20106592646550708,0.1616122511839515,-0.05115452000196291,0.10230375783746636,-0.057002239097856885,0.0764621587716622,0.07427921151729358,0.0899680787914934,0.08187763005931908,0.09477935197014827,-0.012560102529716217,0.15017184626850394,0.005052629876432763,0.05321327070462827,0.04157063393511441,-0.056243385509588156,0.03472235813075269
Temperatura agua,-0.10779017387089404,-0.21821814189819883,0.053293472711468795,1.0,0.14309870044317152,0.13011885413929453,0.07802050988534488,0.6967402635713217,0.7105196651680302,0.5343368169923449,0.3715586776839106,-0.041823525184362484,-0.05682356776506861,0.006885836137708176,-0.07007501478444629,-0.16996837547095614,-0.4606500948576215,-0.31167146610649826,0.12230067385704108,0.6918394165146561,0.10810222662710713,0.08214884066955304,0.0583852638163054
Volumen piscina,-0.20965354307608072,-0.011948749995834505,-0.06534232922367675,0.14309870044317152,1.0,0.9797435017998366,0.3760776367152363,0.12321828029135584,0.3272951999466426,0.32395353170976515,0.4187614318708457,0.006734678821036522,0.006905954794429919,0.04108686581663079,-0.20991547766667135,-0.012343596467166866,-0.06261091175178801,-0.05849033017637145,0.0044945434603666954,0.020402492160225764,-0.0002134143464989626,0.8529756807382246,0.7211170337575676
Superficie piscina,-0.19421856991935982,-0.0008751407481081381,-0.019093367125951475,0.13011885413929453,0.9797435017998366,1.0,0.23349586603839234,0.10617057122523216,0.3066138303803055,0.34302888254532876,0.46767021620621796,0.022509214313790195,0.022432789085388028,0.06047617998245322,-0.1945062700998381,-0.0012026196491216137,-0.061126281751875844,-0.016216657894128354,0.005551673710266364,0.02097997128731483,0.015742035769608892,0.8577057143754238,0.7312726212335309
PROFUNDIDAD_MEDIA_EST,-0.06921137231324878,-0.05773273684639668,-0.20106592646550708,0.07802050988534488,0.3760776367152363,0.23349586603839234,1.0,0.10517067806649298,0.0936774768885364,0.0033501926977860504,0.19758374889767644,-0.05115983055090701,-0.05027268417086713,-0.06338343295215271,-0.06930294288917967,-0.057985759885722625,-0.022564778890105427,-0.1523998791972221,-0.0066386109524474235,6.859649961214227e-05,-0.08134097391611195,0.3549589282234674,0.2557326976474737
Horas filtracion diarias,-0.1833574059914951,-0.12197778359960072,0.1616122511839515,0.6967402635713217,0.12321828029135584,0.10617057122523216,0.10517067806649298,1.0,0.5923186117161121,0.2683357191348939,0.3487489851649615,-0.05181238603596918,-0.04442909621710162,-0.009894979062487394,-0.092751997613189,-0.08297559963022935,-0.40130620594222194,-0.3492520454934701,-0.33433818844030566,0.6370399056320618,0.2523937441211366,0.06808393995357269,0.06439044399983423
Horas dosificación hipo,-0.22543587872841434,-0.20413792722381896,-0.05115452000196291,0.7105196651680302,0.3272951999466426,0.3066138303803055,0.0936774768885364,0.5923186117161121,1.0,0.6118209436984947,0.44660383098828027,0.02678506252838916,-0.060286127919777006,0.003043955208748755,-0.2372372531427309,-0.15110115776737565,-0.4665175170156882,-0.38266291953097703,-0.021609118238201754,0.5678641283799852,0.1945415881735901,0.21131395815866894,0.19765161645581067
Porcentaje dosificación hipoclorito,-0.2504635438194933,-0.1293904772360034,0.10230375783746636,0.5343368169923449,0.32395353170976515,0.34302888254532876,0.0033501926977860504,0.2683357191348939,0.6118209436984947,1.0,0.19239189404903223,0.18037024990194686,0.08617228826950263,0.14794573123119822,-0.15704500261725565,-0.09312379457466104,-0.32077883932529516,-0.17247807942930057,0.029979109154156712,0.3975081895892841,0.17333376685777035,0.25672804113517406,0.3106095485140898
Tiempo lavado /enjuague filtro,-0.16872346326748172,-0.1338357508391853,-0.057002239097856885,0.3715586776839106,0.4187614318708457,0.46767021620621796,0.19758374889767644,0.3487489851649615,0.44660383098828027,0.19239189404903223,1.0,0.040455001016348156,0.04401062556433317,0.0666808825149599,-0.18897821108457155,-0.13981400019032905,-0.22164948217707967,-0.22825189502903617,0.09287913463031428,0.26521023413978523,0.0014599371578796242,0.3549082862136456,0.3296871687436175
TOTAL_CLORO_QUIMICO_DOSIS,-0.244044942035314,0.0032929340228317248,0.0764621587716622,-0.041823525184362484,0.006734678821036522,0.022509214313790195,-0.05115983055090701,-0.05181238603596918,0.02678506252838916,0.18037024990194686,0.040455001016348156,1.0,0.5456651526672539,0.7539009876432315,-0.13166178685146662,0.01766721991681697,0.13999058189362687,0.12565122231499412,-0.154663489164948,-0.18221666909146517,0.03648465869294473,-0.03578854055042312,0.009156594810016528
TOTAL_CLORO_QUIMICO_LAG1,-0.09089207566783723,0.0005882407186066945,0.07427921151729358,-0.05682356776506861,0.006905954794429919,0.022432789085388028,-0.05027268417086713,-0.04442909621710162,-0.060286127919777006,0.08617228826950263,0.04401062556433317,0.5456651526672539,1.0,0.7681973598379619,-0.24506464637737163,0.0032711554174292244,0.18423831525969597,0.1395004386404066,-0.14327079779136825,-0.1717425433006816,-0.06857378568725521,-0.035653287615369324,0.008956214031087045
TOTAL_CLORO_QUIMICO_SUM3D,-0.15457849690603512,-0.020577591119256146,0.0899680787914934,0.006885836137708176,0.04108686581663079,0.06047617998245322,-0.06338343295215271,-0.009894979062487394,0.003043955208748755,0.14794573123119822,0.0666808825149599,0.7539009876432315,0.7681973598379619,1.0,-0.18005226316438963,-0.010825438418780645,0.12457056464655328,0.14001286445696115,-0.14765086346787198,-0.1441655610515281,-0.015001428339371747,-0.0060827099359073355,0.04549243186283174
